census_block_group,id,date_range_start,date_range_end,safegraph_place_id,latitude,longitude,intptlon,intptlat,poi_cbg,est_visitor,distance,state,top_category
2.5001E+11,207335,9/2/19 05:00,9/9/19 05:00,sg:ce11db7e2fe34ac0929d4f357f517706,41.956274,-70.664559,-70.5120492,41.7702101,2.50235E+11,106.6666667,24239.55247,ma,Restaurants and Other Eating Places
2.5001E+11,456782,9/9/19 05:00,9/16/19 05:00,sg:c449cc9f5cd445deadf02bfe03396b2a,42.236044,-70.768497,-70.5120492,41.7702101,2.50235E+11,81.92,55965.14288,ma,Other Amusement and Recreation Industries
2.5001E+11,748211,9/16/19 05:00,9/23/19 05:00,sg:e8e7e9f5204f45cb8d1ab353a94f1b4a,41.788276,-70.75011,-70.5120492,41.7702101,2.50235E+11,110.7027027,19841.97195,ma,Gasoline Stations
2.5001E+11,539378,9/16/19 05:00,9/23/19 05:00,sg:1795a3a508eb4b599c080c0b7114aa7c,42.080822,-70.937099,-70.5120492,41.7702101,2.50235E+11,110.7027027,49289.45174,ma,Restaurants and Other Eating Places
2.5001E+11,986779,9/23/19 05:00,9/30/19 05:00,sg:e30a618073494f5a847a48cb982e8fd3,41.954507,-70.714388,-70.5120492,41.7702101,2.50235E+11,102.4,26471.27337,ma,Restaurants and Other Eating Places
2.5001E+11,500904,9/9/19 05:00,9/16/19 05:00,sg:f31b7fabcbef487caa67e9aa5afb3447,41.743466,-70.660882,-70.5120492,41.7702101,2.50235E+11,81.92,12698.6588,ma,Restaurants and Other Eating Places
2.5001E+11,905144,9/23/19 05:00,9/30/19 05:00,sg:880a44d459884a53b2e412d183ef9b8e,42.097447,-71.094887,-70.5120492,41.7702101,2.50215E+11,102.4,60402.14039,ma,Restaurants and Other Eating Places
2.5001E+11,41857,9/2/19 05:00,9/9/19 05:00,sg:256bebc25ee34422826054f3e3070bdf,42.308667,-71.385081,-70.5120492,41.7702101,2.50174E+11,85.33333333,93716.21296,ma,Restaurants and Other Eating Places
2.5001E+11,800939,9/23/19 05:00,9/30/19 05:00,sg:1be608b80ba342c8bfda8909965f9b05,42.337072,-71.047743,-70.5120492,41.7702101,2.50251E+11,128,77001.47398,ma,Restaurants and Other Eating Places
2.5001E+11,678909,9/16/19 05:00,9/23/19 05:00,sg:9f639789f07c4864aac36ca5d861422e,42.456682,-71.393164,-70.5120492,41.7702101,2.50174E+11,110.7027027,105398.0863,ma,Restaurants and Other Eating Places
2.5001E+11,711821,9/16/19 05:00,9/23/19 05:00,sg:c26865151aeb43fe93faf5f8e33d6839,41.752269,-70.634239,-70.5120492,41.7702101,2.50235E+11,138.3783784,10329.31467,ma,Restaurants and Other Eating Places
2.5001E+11,707765,9/16/19 05:00,9/23/19 05:00,sg:be45df60df15431ca7a4ef8d5139fcb1,42.033658,-70.959277,-70.5120492,41.7702101,2.50235E+11,110.7027027,47202.82089,ma,Specialty Food Stores
2.5001E+11,293779,9/9/19 05:00,9/16/19 05:00,sg:230439eaa88c4da6b68eab8d0f94128d,41.758422,-70.65912,-70.5120492,41.7702101,2.50235E+11,102.4,12268.18849,ma,Restaurants and Other Eating Places
